HUMAN_ID,gender,year,date,age,region,uniform_top,uniform_bottom,002. height,032. neck_circumference ,041. chest_circumference ,045. waist_circumference ,048. hip_circumference ,084. sittingheight ,122. foot ,125. weight 
20_M_1417,남,2020,1114,41,서울/경기/강원,,90M,1667,372,998,894,983,900,260,70.8
20_M_1455,남,2020,1115,41,서울/경기/강원,,80M,1656,366,946,745,901,899,263,58.8
20_M_1458,남,2020,1115,40,서울/경기/강원,,85M,1729,377,972,838,907,930,240,65.6
20_F_1465,여,2020,1116,42,서울/경기/강원,85XL,90F,1685,331,993,885,998,919,243,70.4
20_F_1467,여,2020,1116,42,서울/경기/강원,75M,75F,1602,304,818,718,922,871,234,50.1
20_F_1477,여,2020,1116,40,서울/경기/강원,75M,75F,1642,329,839,711,894,857,247,52.2
20_F_1486,여,2020,1117,43,서울/경기/강원,80L,80F,1589,287,867,737,928,859,238,54.1
20_F_1490,여,2020,1117,40,서울/경기/강원,80L,80F,1531,345,902,816,909,817,227,56.4
20_F_1492,여,2020,1117,40,서울/경기/강원,80L,80F,1538,300,875,770,913,831,220,51.2
20_F_1495,여,2020,1117,40,서울/경기/강원,75M,75F,1632,314,803,708,850,880,232,49
20_F_1501,여,2020,1117,40,서울/경기/강원,80L,80F,1651,315,872,799,923,874,245,56.5
20_F_1506,여,2020,1118,43,서울/경기/강원,75M,75F,1745,304,842,684,918,908,254,52.7
20_F_1512,여,2020,1118,41,서울/경기/강원,80L,80F,1532,320,876,808,920,850,229,52.8
20_F_1531,여,2020,1119,44,서울/경기/강원,80L,85F,1584,343,907,863,1000,861,226,61
20_F_1549,여,2020,1119,42,서울/경기/강원,75M,65F,1581,307,825,654,832,852,222,43.9
20_M_1556,남,2020,1120,43,서울/경기/강원,,90M,1715,373,1015,894,998,924,258,73.3
20_M_1571,남,2020,1120,41,서울/경기/강원,,75M,1646,338,888,723,870,883,235,52.1
20_M_1580,남,2020,1121,44,서울/경기/강원,,85M,1757,392,1045,854,1004,923,247,77
20_M_1588,남,2020,1121,41,서울/경기/강원,,100M,1744,410,1035,972,993,953,261,82.5
20_M_1597,남,2020,1121,43,서울/경기/강원,,100M,1698,396,1099,969,1020,941,253,84.2
20_M_1614,남,2020,1122,42,서울/경기/강원,,75M,1669,356,900,751,888,943,232,59.8
20_M_1619,남,2020,1122,40,서울/경기/강원,,90M,1731,386,1049,862,964,960,239,74.5
20_M_1622,남,2020,1122,41,서울/경기/강원,,80M,1713,388,1014,781,942,925,255,69
20_F_1631,여,2020,1123,42,서울/경기/강원,80L,85F,1565,335,921,842,954,837,234,58.4
20_F_1638,여,2020,1123,40,서울/경기/강원,902XL,90F,1672,341,1017,892,1036,913,226,73.8
20_F_1670,여,2020,1124,40,서울/경기/강원,75M,80F,1578,318,831,698,883,860,228,49.4
20_F_1672,여,2020,1124,32,서울/경기/강원,75M,70F,1561,315,819,680,869,839,220,47
20_F_1676,여,2020,1124,32,서울/경기/강원,75M,75F,1631,305,835,641,874,859,230,48.9
20_F_1677,여,2020,1124,42,서울/경기/강원,80L,85F,1612,320,908,791,954,878,236,59.7
20_F_1679,여,2020,1124,30,서울/경기/강원,902XL,90F,1617,319,953,848,1039,833,237,71
20_F_1682,여,2020,1125,31,서울/경기/강원,902XL,90F,1669,374,985,886,1072,917,233,83.3
20_F_1683,여,2020,1125,30,서울/경기/강원,80L,85F,1628,335,913,772,925,873,223,60.2
20_F_1684,여,2020,1125,31,서울/경기/강원,80L,80F,1596,330,899,749,968,856,236,57.5
20_F_1686,여,2020,1125,30,서울/경기/강원,75M,70F,1639,330,832,671,928,905,246,53.9
20_F_1688,여,2020,1125,43,서울/경기/강원,85XL,90F,1690,324,921,836,998,927,258,67.2
20_F_1689,여,2020,1125,31,서울/경기/강원,75M,70F,1530,298,800,632,865,835,218,45.3
20_F_1691,여,2020,1125,30,서울/경기/강원,80L,80F,1709,323,904,767,920,911,239,57.6
20_F_1692,여,2020,1125,31,서울/경기/강원,75M,75F,1591,305,854,745,993,854,237,58.8
20_F_1693,여,2020,1125,32,서울/경기/강원,80L,90F,1685,362,896,818,1021,918,250,69.2
20_F_1694,여,2020,1125,36,서울/경기/강원,85XL,80F,1617,363,945,814,983,891,239,66
20_F_1696,여,2020,1125,26,서울/경기/강원,75M,75F,1699,313,824,632,893,891,243,53.6
20_F_1697,여,2020,1125,32,서울/경기/강원,80L,70F,1576,327,855,677,879,874,232,50.6
20_F_1698,여,2020,1125,31,서울/경기/강원,85XL,90F,1677,355,969,874,1021,911,237,73.7
20_F_1699,여,2020,1125,39,서울/경기/강원,85XL,85F,1586,361,931,812,920,844,238,58.8
20_F_1700,여,2020,1125,28,서울/경기/강원,80L,80F,1622,315,915,711,955,893,238,61.6
20_F_1701,여,2020,1125,34,서울/경기/강원,75M,70F,1565,296,794,649,827,864,218,45.2
20_F_1702,여,2020,1125,36,서울/경기/강원,80L,80F,1591,323,880,742,903,866,227,51.9
20_F_1704,여,2020,1125,33,서울/경기/강원,75M,70F,1648,305,839,640,892,913,226,49.3
20_F_1705,여,2020,1125,38,서울/경기/강원,75M,75F,1657,320,871,716,930,894,238,58.8
20_F_1706,여,2020,1126,28,서울/경기/강원,75M,70F,1660,322,895,680,950,882,238,60.4
20_F_1707,여,2020,1126,38,서울/경기/강원,75M,75F,1606,319,825,692,918,876,234,53.5
20_F_1708,여,2020,1126,27,서울/경기/강원,75M,70F,1540,315,826,703,915,811,222,50.5
20_F_1710,여,2020,1126,31,서울/경기/강원,75M,75F,1555,311,829,672,890,846,230,50.5
20_F_1711,여,2020,1126,31,서울/경기/강원,80L,80F,1693,340,888,749,1008,928,246,65.2
20_F_1712,여,2020,1126,25,서울/경기/강원,85XL,85F,1638,341,891,808,1013,888,250,67.2
20_F_1713,여,2020,1126,38,서울/경기/강원,75M,70F,1608,311,848,658,940,877,237,53.4
20_F_1714,여,2020,1126,25,서울/경기/강원,75M,75F,1625,304,785,670,920,878,222,51.1
20_F_1715,여,2020,1126,27,서울/경기/강원,75M,70F,1535,288,823,620,885,865,213,45.4
20_F_1716,여,2020,1126,29,서울/경기/강원,75M,75F,1610,294,831,689,908,849,240,51.4
20_F_1717,여,2020,1126,28,서울/경기/강원,75M,70F,1605,317,792,640,883,865,224,48.6
20_F_1718,여,2020,1126,30,서울/경기/강원,75M,70F,1546,312,818,678,915,815,223,49.3
20_F_1719,여,2020,1126,36,서울/경기/강원,75M,70F,1564,323,813,660,860,865,233,45.1
20_F_1720,여,2020,1126,26,서울/경기/강원,75M,75F,1585,320,845,701,855,844,237,47.4
20_F_1721,여,2020,1126,33,서울/경기/강원,80L,80F,1600,312,887,761,1013,877,230,60.6
20_F_1722,여,2020,1126,37,서울/경기/강원,902XL,90F,1540,350,946,883,998,840,228,64.4
20_F_1723,여,2020,1126,38,서울/경기/강원,80L,80F,1770,338,882,738,997,951,263,69
20_F_1724,여,2020,1126,42,서울/경기/강원,80L,80F,1627,328,877,735,865,863,231,55.4
20_F_1725,여,2020,1126,40,서울/경기/강원,75M,70F,1592,301,824,668,888,854,222,48.4
20_F_1726,여,2020,1126,32,서울/경기/강원,80L,85F,1659,320,906,746,965,922,249,60.4
20_F_1727,여,2020,1126,33,서울/경기/강원,75M,75F,1536,291,806,684,879,850,229,47.6
20_M_1731,남,2020,1127,42,서울/경기/강원,,80M,1704,356,970,775,929,931,254,62.7
20_M_1752,남,2020,1128,40,서울/경기/강원,,85M,1640,376,997,852,960,871,230,66.2
20_M_1753,남,2020,1128,42,서울/경기/강원,,85M,1728,380,976,815,902,924,243,64.5
20_M_1759,남,2020,1128,29,서울/경기/강원,,95M,1722,394,1061,911,1020,926,262,83.8
20_M_1760,남,2020,1128,43,서울/경기/강원,,85M,1757,391,988,866,965,979,256,74.8
20_M_1763,남,2020,1128,26,서울/경기/강원,,90M,1788,377,1011,774,958,932,255,75.2
20_M_1764,남,2020,1128,27,서울/경기/강원,,75M,1700,365,950,722,928,923,250,64.8
20_M_1768,남,2020,1128,31,서울/경기/강원,,85M,1752,361,1059,812,944,959,246,72.4
20_M_1769,남,2020,1128,29,서울/경기/강원,,85M,1736,375,1003,812,1008,928,264,77.3
20_M_1770,남,2020,1128,27,서울/경기/강원,,95M,1764,358,1015,899,1022,962,256,84.4
20_M_1771,남,2020,1128,26,서울/경기/강원,,95M,1775,381,965,895,992,959,250,74.9
20_M_1772,남,2020,1128,42,서울/경기/강원,,90M,1734,384,1029,887,1005,945,250,78
20_M_1773,남,2020,1128,30,서울/경기/강원,,85M,1771,376,1004,798,971,914,259,72.2
20_M_1774,남,2020,1129,30,서울/경기/강원,,80M,1720,359,934,770,935,937,250,64.1
20_M_1776,남,2020,1129,30,서울/경기/강원,,90M,1781,375,1052,880,1029,984,268,80.3
20_M_1779,남,2020,1129,27,서울/경기/강원,,85M,1751,370,948,774,935,915,243,68.1
20_M_1780,남,2020,1129,30,서울/경기/강원,,85M,1664,374,964,821,973,882,257,70.8
20_M_1781,남,2020,1129,27,서울/경기/강원,,90M,1691,389,1012,879,993,897,250,77.6
